label,token_count,text,original_text
0,31,请国家还原真相nbspnbsp因为相关部门的过失害死了这么多人nbspnbspnbsp现在连死亡人数也要隐瞒nbspnbspnbsp是人么你们nbspnbspnbsp,请国家还原真相&nbsp;&nbsp;因为相关部门的过失害死了这么多人&nbsp;&nbsp;&nbsp;现在连死亡人数也要隐瞒&nbsp;&nbsp;&nbsp;是人么你们&nbsp;&nbsp;&nbsp;#塘沽爆炸真相#
1,31,Stark家族恭喜权力的游戏在第67届艾美奖中获得24项提名与12座奖杯私生子囧斯诺则表示我啥也不知道,Stark家族恭喜《权力的游戏》在第67届艾美奖中获得24项提名与12座奖杯。私生子囧斯诺则表示我啥也不知道。
1,32,今天上午山东平邑一石膏矿垮塌引发震动目前有多人被埋伤亡不明据 正式测定振动相当于4级地震据新华社愿一切平安,今天上午，山东平邑一石膏矿垮塌引发震动，目前有多人被埋，伤亡不明。据@中国地震台网速报 正式测定：振动相当于4级地震。（据新华社）愿一切平安！
0,32,转发一位叫徐敬的女孩21岁请速回雅安水城县人民医院妈妈伤的很严重想见她最后一面爸爸号码15193383486爱心接力,（转发）一位叫徐敬的女孩，21岁，请速回雅安水城县人民医院，妈妈伤的很严重，想见她最后一面，爸爸号码：15193383486，爱心接力！
0,33,男主已被乱棍打死好么 来自网易新闻广西南宁一奔驰车闯拆迁现场撞人 致3人受伤更多精彩尽在 O网页链接,『男主已被乱棍打死好么』-- 来自网易新闻《广西南宁一奔驰车闯拆迁现场撞人 致3人受伤》更多精彩尽在 O网页链接
0,34,我们曾经看过的超人迪加奥特曼已经死了 男主角长野博在2013年4月25日长野博出车祸去世享年40岁,我们曾经看过的超人迪加奥特曼已经死了 ！！！ 男主角长野博在2013年4月25日长野博出车祸去世。享年40岁
0,35,台风海欧悄悄的走了传说中的乌鸦又来伟大的神啊请不要再玩我们这些善良的人们了劳烦您拐个弯去他国吧 我在2金海岸大道,台风海欧悄悄的走了，传说中的乌鸦又来？伟大的神啊！请不要再玩我们这些善良的人们了，劳烦您拐个弯去他国吧！ 我在:2金海岸大道
1,35,致青春12部值得一看的日本电影把平常无奇的青春拍得动人心魄O24楼影院影荐 致青春12部值得一看的日本电影,#24楼影院#【影荐 | 致青春，12部值得一看的日本电影】把平常无奇的青春拍得动人心魄。O【24楼影院】影荐 | 致青春，12部值得一看的日本电影
1,36,汤面做法集锦汤面虽则简单却透着一股浓浓的温暖在这个寒冷的夜晚来上一碗热汤面在适合不过了试学几道吧by网络,【汤面做法集锦】汤面，虽则简单，却透着一股浓浓的温暖。在这个寒冷的夜晚来上一碗热汤面在适合不过了！试学几道吧!by网络
0,37,帮忙转发一下一名中学生叫周榆棍17岁请速回平山县医院妈妈伤的很严重想见她最后一面爸爸号码18332383039爱心接力好人有好报,帮忙转发一下，一名中学生，叫周榆棍，17岁，请速回平山县医院，妈妈伤的很严重，想见她最后一面，爸爸号码：18332383039爱心接力，好人有好报 ！！！！@天使向莉 @汪永强律师@孔智勇@王光复@一笔书生 @王亚军北京
0,38,帮忙转发一下一位叫徐敬的女孩21岁请速回雅安水城县人民医院妈妈伤的很严重想见她最后一面爸爸号码15193383486爱心接力好人有好报,#雅安7级地震# 帮忙转发一下，一位叫徐敬的女孩，21岁，请速回雅安水城县人民医院，妈妈伤的很严重，想见她最后一面，爸爸号码：15193383486，爱心接力，好人有好报
1,38,在家自制美味的地三鲜地三鲜最最最普通的家常食材但做出来的味道绝对不比肉菜差而且超级下饭转自网络 转给TA 做起来,#生活经# 【在家自制美味的地三鲜】地三鲜，最最最普通的家常食材，但做出来的味道绝对不比肉菜差，而且超级下饭！（转自网络） 转给TA ，做起来~！
